,pump_bgs,bg_actual,bg_loop,temp_basal,insulin_relative_to_actual_basal,iob,carbLoop,carbActual,insulinLoop,insulinActual,cirLoop,cirActual,isfLoop,isfActual,sbrLoop,sbrActual
0,110.0,110.0,110.0,3.0,0.225,0.25,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
5,110.0,109.87607843538949,109.87607843538949,3.0,0.225,0.4990820624843666,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
10,110.0,109.4453686023068,109.4453686023068,3.0,0.225,0.7458916192763467,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
15,110.0,108.55424346863404,108.55424346863404,3.0,0.225,0.9892906923602522,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
20,110.0,107.07485454614773,107.07485454614773,3.0,0.225,1.2283322558973908,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
25,110.0,104.90203496970025,104.90203496970025,2.35,0.17083333333333336,1.408070629405187,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
30,110.0,101.98036373015505,101.98036373015505,3.0,0.225,1.6364065217276238,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
35,110.0,98.25621708980384,98.25621708980384,1.4,0.09166666666666666,1.7254322085139093,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
40,110.0,93.74340935296324,93.74340935296324,3.0,0.225,1.9418675025211916,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
45,110.0,88.43134866174185,88.43134866174185,0.0,-0.024999999999999998,1.9022793347968399,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
50,110.0,82.40713462621413,82.40713462621413,0.0,-0.024999999999999998,1.8572277742867989,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
55,110.0,75.83603338369278,75.83603338369278,0.0,-0.024999999999999998,1.807801373705055,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
60,110.0,68.86182279672991,68.86182279672991,0.0,-0.024999999999999998,1.7549517784900721,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
65,110.0,61.60915106822639,61.60915106822639,0.0,-0.024999999999999998,1.69950854087747,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
70,110.0,54.18565652576097,54.18565652576097,0.0,-0.024999999999999998,1.6421924455554477,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
75,110.0,46.68387166418503,46.68387166418503,0.0,-0.024999999999999998,1.5836274901075984,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
80,110.0,39.18293236815097,39.18293236815097,0.0,-0.024999999999999998,1.5243516500477265,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
85,110.0,31.750111268304266,31.750111268304266,0.0,-0.024999999999999998,1.464826546081627,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
90,110.0,24.44219239827402,24.44219239827402,0.0,-0.024999999999999998,1.405446120179972,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
95,110.0,17.306702697874854,17.306702697874854,0.0,-0.024999999999999998,1.3465444170130665,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
100,110.0,10.383014436092628,10.383014436092628,0.0,-0.024999999999999998,1.2884025581899121,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
105,110.0,3.703331291826677,3.703331291826677,0.0,-0.024999999999999998,1.2312549884767083,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
110,110.0,-2.7064303814127193,-2.7064303814127193,0.0,-0.024999999999999998,1.1752950656671297,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
115,110.0,-8.825854679895958,-8.825854679895958,0.0,-0.024999999999999998,1.1206800589688255,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
120,110.0,-14.639324233189289,-14.639324233189289,0.0,-0.024999999999999998,1.0675356145942554,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
125,110.0,-20.13539472091369,-20.13539472091369,0.0,-0.024999999999999998,1.0159597416415682,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
130,110.0,-25.306238116555544,-25.306238116555544,0.0,-0.024999999999999998,0.9660263662702955,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
135,110.0,-30.147147695162325,-30.147147695162325,0.0,-0.024999999999999998,0.9177884975694927,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
140,110.0,-34.656098515156394,-34.656098515156394,0.0,-0.024999999999999998,0.8712810443391907,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
145,110.0,-38.83335769467254,-38.83335769467254,0.0,-0.024999999999999998,0.826523318220171,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
150,110.0,-42.68113935559052,-42.68113935559052,0.0,-0.024999999999999998,0.7835212551762499,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
155,110.0,-46.203299609081455,-46.203299609081455,0.0,-0.024999999999999998,0.7422693842247973,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
160,110.0,-49.40506740982952,-49.40506740982952,0.0,-0.024999999999999998,0.7027525694954349,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
165,110.0,-52.2928075164977,-52.2928075164977,0.0,-0.024999999999999998,0.6649475491467977,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
170,110.0,-54.873812167456386,-54.873812167456386,0.0,-0.024999999999999998,0.6288242923623135,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
175,110.0,-57.156118416896405,-57.156118416896405,0.0,-0.024999999999999998,0.5943471935559084,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
180,110.0,-59.14834838048819,-59.14834838048819,0.0,-0.024999999999999998,0.5614761210270562,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
185,110.0,-60.85956991470905,-60.85956991470905,0.0,-0.024999999999999998,0.5301673355932818,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
190,110.0,-62.299175502550476,-62.299175502550476,0.0,-0.024999999999999998,0.5003742931803018,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
195,110.0,-63.476777343000855,-63.476777343000855,0.0,-0.024999999999999998,0.47204834395029005,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
200,110.0,-64.40211684471032,-64.40211684471032,0.0,-0.024999999999999998,0.4451393392834071,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
205,110.0,-65.08498690761702,-65.08498690761702,0.0,-0.024999999999999998,0.41959615678422846,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
210,110.0,-65.53516554189017,-65.53516554189017,0.0,-0.024999999999999998,0.3953671524516019,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
215,110.0,-65.76235952300156,-65.76235952300156,0.0,-0.024999999999999998,0.3724005482174303,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
220,110.0,-65.77615691659231,-65.77615691659231,0.0,-0.024999999999999998,0.3506447622174938,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
225,110.0,-65.58598742843662,-65.58598742843662,0.0,-0.024999999999999998,0.33004868839716306,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
230,110.0,-65.20108964447108,-65.20108964447108,0.0,-0.024999999999999998,0.31056193136895727,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
235,110.0,-64.63048432469319,-64.63048432469319,0.0,-0.024999999999999998,0.2921350018203387,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
240,110.0,-63.882953003766744,-63.882953003766744,0.0,-0.024999999999999998,0.2747194772125211,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
245,110.0,-62.96702123134137,-62.96702123134137,0.0,-0.024999999999999998,0.25826813200860865,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
250,110.0,-61.89094585724382,-61.89094585724382,0.0,-0.024999999999999998,0.24273504121682868,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
255,110.0,-60.66270583160343,-60.66270583160343,0.0,-0.024999999999999998,0.22807566062719378,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
260,110.0,-59.28999604832559,-59.28999604832559,0.0,-0.024999999999999998,0.2142468867533254,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
265,110.0,-57.78022381276134,-57.78022381276134,0.0,-0.024999999999999998,0.20120709916144736,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
270,110.0,-56.14050756150883,-56.14050756150883,0.0,-0.024999999999999998,0.1889161875721863,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
275,110.0,-54.377677504543,-54.377677504543,0.0,-0.024999999999999998,0.17733556585455398,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
280,110.0,-52.498277897773754,-52.498277897773754,0.0,-0.024999999999999998,0.166428174792433,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
285,110.0,-50.508570688105586,-50.508570688105586,0.0,-0.024999999999999998,0.1561584752893874,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
290,110.0,-48.414540303498896,-48.414540303498896,0.0,-0.024999999999999998,0.14649243348528276,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
295,110.0,-46.22189938776378,-46.22189938776378,0.0,-0.024999999999999998,0.13739749908585946,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
300,110.0,-43.936095304167274,-43.936095304167274,0.0,-0.024999999999999998,0.12884257805208732,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
305,110.0,-41.56231725368996,-41.56231725368996,0.0,-0.024999999999999998,0.12079800065807428,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
310,110.0,-39.105503873186585,-39.105503873186585,0.0,-0.024999999999999998,0.11323548580288281,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
315,110.0,-36.57035119602177,-36.57035119602177,0.0,-0.024999999999999998,0.10612810235138521,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
320,110.0,-33.96132087317611,-33.96132087317611,0.0,-0.024999999999999998,0.09945022818093516,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
325,110.0,-31.282648566543287,-31.282648566543287,0.0,-0.024999999999999998,0.09317750752296372,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
330,110.0,-28.538352438334904,-28.538352438334904,0.0,-0.024999999999999998,0.0872868071105491,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
335,110.0,-25.732241671335377,-25.732241671335377,0.0,-0.024999999999999998,0.08175617157358038,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
340,110.0,-22.867924964342528,-22.867924964342528,0.0,-0.024999999999999998,0.07656477846147114,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
345,110.0,-19.94881895561958,-19.94881895561958,0.0,-0.024999999999999998,0.07169289321867342,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
350,110.0,-16.978156534684253,-16.978156534684253,0.0,-0.024999999999999998,0.06712182438978767,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
355,110.0,-13.958995009374512,-13.958995009374512,0.0,-0.024999999999999998,0.0628338792882139,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
360,110.0,-10.894224100951734,-10.894224100951734,0.0,-0.024999999999999998,0.05881232032445348,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
365,110.0,-7.786573745113713,-7.786573745113713,0.0,-0.024999999999999998,0.05504132215683725,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
370,110.0,-4.638621681268274,-4.638621681268274,0.0,-0.024999999999999998,0.05150592979813397,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
375,110.0,-1.4528008163318007,-1.4528008163318007,0.0,-0.024999999999999998,0.048192017785771216,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
380,110.0,1.768593647274681,1.768593647274681,0.0,-0.024999999999999998,0.04508625050088505,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
385,110.0,5.023397326798502,5.023397326798502,0.0,-0.024999999999999998,0.0421760437017646,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
390,110.0,8.309570022303866,8.309570022303866,0.0,-0.024999999999999998,0.03944952732015522,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
395,110.0,11.625189330396443,11.625189330396443,0.0,-0.024999999999999998,0.03689550955406101,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
400,110.0,14.968444509233882,14.968444509233882,0.0,-0.024999999999999998,0.03450344227787362,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
405,110.0,18.33763059392009,18.33763059392009,0.0,-0.024999999999999998,0.03226338777964867,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
410,110.0,21.731142760017025,21.731142760017025,0.0,-0.024999999999999998,0.030165986825923606,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
415,110.0,25.147470931759926,25.147470931759926,0.0,-0.024999999999999998,0.02820242804646119,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
420,110.0,28.585194630608825,28.585194630608825,0.0,-0.024999999999999998,0.026364418624537794,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
425,110.0,32.042978058982555,32.042978058982555,0.0,-0.024999999999999998,0.024644156272727903,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
430,110.0,35.51956541338604,35.51956541338604,0.0,-0.024999999999999998,0.023034302469439993,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
435,110.0,39.013776420633846,39.013776420633846,0.0,-0.024999999999999998,0.021527956927614778,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
440,110.0,42.524502090481114,42.524502090481114,0.0,-0.024999999999999998,0.020118633263899104,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
445,110.0,46.05070067767788,46.05070067767788,0.0,-0.024999999999999998,0.01880023583416488,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
450,110.0,49.59139384625581,49.59139384625581,0.0,-0.024999999999999998,0.01756703769937042,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
455,110.0,53.14566302872128,53.14566302872128,0.0,-0.024999999999999998,0.016413659684384387,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
460,110.0,56.712645972759894,56.712645972759894,0.0,-0.024999999999999998,0.015335050491446695,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
465,110.0,60.2915334680417,60.2915334680417,0.0,-0.024999999999999998,0.014326467829364864,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
470,110.0,63.88156624574823,63.88156624574823,0.0,-0.024999999999999998,0.01338346051929079,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
475,110.0,67.48203204351337,67.48203204351337,0.0,-0.024999999999999998,0.012501851537936445,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
480,,71.10255052051215,71.10255052051215,3.0,0.225,0.0,0.0,0.0,0.0,0.0,20.0,20.0,150.0,150.0,3.0,0.3
